distance_km,poids_kg,heure,jour_semaine,conditions_meteo,niveau_trafic,temperature,visibilite,duree_minutes
199.974,35.78,17,3,0,0.817,29.6,8456,520.72
235.099,75.92,7,1,0,0.869,18.1,8386,511.24
47.197,41.3,3,4,0,0.262,27.0,9440,66.28
30.298,155.24,4,4,2,0.179,0.3,2859,59.71
12.37,12.29,18,5,3,0.014,24.4,2749,34.66
28.004,81.71,9,3,0,0.825,25.8,8493,130.57
296.352,26.91,7,2,0,0.625,27.9,9888,643.02
15.398,121.03,1,6,0,0.072,31.1,9203,39.59
37.518,192.42,3,5,2,0.211,2.8,1493,83.45
18.917,129.78,9,2,0,0.449,32.7,8954,100.07
22.72,44.33,4,0,0,0.072,33.7,9186,24.8
10.206,110.17,21,2,0,0.317,31.4,9979,44.5
7.77,177.88,20,0,0,0.384,31.8,8152,40.88
146.459,141.46,0,1,0,0.064,22.5,9265,101.44
1.161,144.47,17,2,0,0.615,31.3,9380,31.09
10.018,123.99,8,6,0,0.587,30.9,8161,80.66
340.718,171.66,1,0,0,0.006,22.5,8974,198.17
31.483,113.21,3,4,3,0.266,18.4,4691,64.65
1.8,185.76,10,0,3,0.346,23.8,4081,27.1
34.053,135.44,17,2,0,0.894,29.8,9618,145.29
196.673,153.82,19,3,3,0.896,19.9,3597,678.48
27.348,132.17,2,6,0,0.007,31.0,9460,39.26
4.115,188.6,14,2,1,0.335,11.5,2715,41.81
4.176,119.65,10,6,0,0.334,20.8,8794,41.28
117.971,53.86,8,3,0,0.611,18.3,8565,255.67
25.189,118.8,6,3,0,0.219,21.1,9943,45.76
339.477,118.92,9,2,0,0.557,28.9,8981,715.21
265.863,115.22,7,2,0,0.583,31.3,8804,507.06
29.225,188.6,6,3,1,0.339,22.5,2566,74.26
26.517,143.08,12,0,0,0.32,27.0,9192,60.27
35.872,107.43,20,0,0,0.207,20.0,9361,57.86
223.824,150.56,13,0,0,0.424,20.2,9045,318.65
357.601,30.23,0,3,0,0.009,23.3,9969,182.75
31.479,104.27,11,3,0,0.196,29.4,8926,58.44
115.603,196.78,7,4,0,0.128,18.2,9146,101.33
26.464,79.18,23,4,1,0.211,16.7,5518,58.95
126.002,65.26,14,0,0,0.49,32.3,9080,209.85
14.403,91.63,5,6,0,0.061,31.0,9881,36.88
274.979,83.71,4,4,0,0.161,18.7,9301,230.66
11.909,37.5,14,4,0,0.145,22.2,8019,36.23
28.551,88.83,5,0,0,0.029,30.9,8451,33.93
29.829,153.21,17,4,0,0.163,17.3,9587,47.03
17.294,147.22,20,6,0,0.235,32.5,8066,62.17
396.791,47.47,23,4,0,0.19,32.2,9249,319.71
11.603,107.8,10,5,0,0.257,26.5,9950,38.62
401.418,183.76,8,6,0,0.525,29.0,8271,799.26
11.114,82.9,14,0,0,0.321,32.6,8190,52.37
19.778,116.43,23,0,1,0.08,16.9,4934,56.31
22.119,26.21,15,6,0,0.114,28.7,8099,31.62
112.672,91.36,13,1,2,0.48,7.1,1736,241.97
16.155,61.17,22,6,0,0.01,28.1,9441,43.04
18.08,1.71,10,6,0,0.14,32.2,9421,51.04
103.079,154.71,4,5,2,0.183,-0.6,2672,141.21
463.151,123.25,14,6,0,0.426,32.9,8286,634.85
3.828,110.72,19,5,0,0.013,30.6,9414,26.4
126.777,78.41,20,0,1,0.134,21.9,3960,156.63
100.712,172.18,18,3,0,0.636,28.7,9562,199.03
9.022,184.52,12,4,0,0.208,29.3,9571,39.06
20.697,40.72,4,4,0,0.25,26.7,9563,31.78
429.375,11.68,2,3,0,0.031,27.2,8112,211.74
38.144,104.65,23,2,0,0.087,17.5,9599,42.01
17.458,104.82,8,5,3,0.108,24.4,3032,58.41
29.05,45.76,16,0,0,0.114,32.3,8500,43.64
56.267,160.64,22,5,0,0.125,19.5,8508,60.09
122.498,160.89,1,3,0,0.077,24.3,8578,83.95
12.018,156.92,23,4,0,0.148,22.4,9990,41.28
16.696,46.68,11,5,1,0.197,23.2,4744,51.88
9.908,98.46,1,1,1,0.052,11.4,3896,37.07
32.889,15.06,18,0,0,0.546,34.3,8484,95.93
190.076,90.61,7,0,3,0.478,17.0,4154,435.63
12.678,53.08,3,0,0,0.07,28.7,9692,36.05
28.591,193.68,12,4,0,0.297,21.0,9679,68.05
32.254,28.04,0,0,1,0.04,24.7,3070,32.23
36.738,15.09,2,1,3,0.085,21.7,1527,39.28
29.115,99.28,12,5,0,0.056,22.1,9860,51.34
153.061,59.09,13,4,0,0.041,16.8,8784,144.43
495.126,156.4,11,3,0,0.27,24.7,9869,458.06
1.657,162.16,8,0,1,0.9,17.1,4928,37.83
65.718,199.28,7,4,1,0.297,22.0,4906,125.42
205.04,118.35,22,5,0,0.169,26.4,8291,196.14
4.065,46.6,7,0,0,0.707,15.0,9879,47.0
439.38,12.01,4,4,1,0.258,12.1,2908,401.29
5.89,31.59,13,6,0,0.252,24.7,8649,29.37
142.689,117.83,5,3,0,0.018,28.8,8260,102.85
7.692,63.71,19,1,0,0.47,17.1,9016,51.39
35.47,17.84,22,5,0,0.003,32.7,8914,36.68
17.81,83.99,5,3,0,0.038,22.6,9118,37.61
143.768,90.31,1,2,0,0.007,20.2,8214,81.47
23.964,122.77,15,5,0,0.182,33.8,8337,38.33
228.269,110.87,23,4,0,0.029,20.6,8486,160.67
33.044,125.06,15,1,0,0.188,19.1,9307,62.33
19.819,132.24,2,5,0,0.114,18.7,9813,55.34
6.47,139.32,3,0,0,0.097,31.2,8847,32.92
232.571,107.15,15,4,1,0.256,17.1,2646,238.66
37.996,89.86,5,1,1,0.068,11.9,5468,46.36
13.13,145.45,2,0,0,0.086,22.9,8667,33.84
91.759,30.01,18,4,0,0.277,34.3,8205,78.01
14.083,82.24,12,5,0,0.052,27.2,8076,49.48
357.636,9.95,15,2,1,0.353,10.3,4482,440.24
12.369,148.77,10,2,1,0.163,19.1,2731,51.67
6.779,62.29,16,3,0,0.271,32.0,9800,34.68
1.806,10.21,11,5,0,0.253,22.4,8950,12.02
34.884,117.42,11,2,0,0.349,32.9,9533,68.39
398.722,42.94,7,5,0,0.123,19.1,9334,382.11
316.525,1.79,8,4,1,0.113,14.6,4255,251.42
419.183,79.49,3,0,0,0.084,28.2,9727,239.59
11.421,65.09,8,2,0,0.549,34.0,9334,90.56
409.087,120.05,21,2,0,0.249,29.4,9342,448.6
415.367,68.7,22,1,0,0.091,27.8,8974,225.73
443.188,36.31,3,3,0,0.056,20.2,9655,238.49
34.922,84.15,10,2,0,0.135,20.9,9743,60.22
257.221,38.99,3,6,0,0.005,25.6,8846,107.94
250.483,63.35,22,1,1,0.006,17.3,3448,152.37
6.758,157.06,2,1,0,0.043,27.7,8826,26.18
388.15,106.25,0,5,0,0.208,29.7,8463,276.88
7.097,164.79,9,2,0,0.569,25.4,9073,55.54
37.949,183.65,12,0,0,0.263,29.5,8268,79.21
404.378,75.1,20,2,1,0.299,19.3,6865,430.66
19.239,30.71,22,5,0,0.03,21.0,9355,44.83
35.996,102.37,19,0,0,0.499,30.7,9019,117.33
2.057,99.32,6,5,3,0.045,20.0,1011,28.21
398.582,15.1,23,0,3,0.03,24.7,2870,260.71
183.845,147.73,3,6,1,0.017,10.7,3133,125.09
82.758,163.01,5,0,0,0.084,34.2,8556,61.84
29.193,196.32,5,0,0,0.057,26.8,9643,40.36
436.785,176.0,23,1,0,0.041,24.8,9817,241.89
305.259,113.05,21,6,0,0.285,25.5,9434,312.94
335.046,29.82,17,4,0,0.152,27.9,8321,259.32
11.487,101.44,17,5,0,0.138,31.3,8161,38.73
5.189,99.52,20,0,0,0.265,23.2,9141,31.83
26.357,91.3,10,2,1,0.33,22.2,5722,54.43
4.349,131.82,0,2,0,0.029,27.7,9638,24.98
371.917,21.48,19,1,0,0.508,33.6,8804,665.98
61.39,126.68,21,4,0,0.198,32.8,8936,70.45
425.855,96.64,16,6,3,0.345,17.7,3369,638.51
35.315,83.79,19,5,1,0.136,14.1,4808,64.03
435.925,142.4,17,5,0,0.087,19.2,9463,319.82
480.83,100.83,22,5,0,0.169,17.3,8721,393.77
35.16,84.54,0,4,0,0.201,22.6,8108,52.69
10.397,167.89,22,6,0,0.036,30.1,8066,32.69
218.888,102.23,22,2,0,0.039,15.9,8781,124.54
1.012,50.34,19,6,1,0.752,23.1,3847,29.94
175.322,35.57,21,0,0,0.136,18.5,9052,149.49
33.918,1.23,14,5,3,0.015,15.6,4803,31.58
31.469,63.64,7,1,0,0.608,30.7,8326,95.25
13.609,72.22,6,6,0,0.347,24.5,9149,43.81
325.721,191.78,21,2,0,0.216,30.9,8232,311.55
212.481,160.58,14,3,0,0.296,33.0,8394,283.26
136.959,125.94,6,6,0,0.261,31.7,8421,148.27
472.286,149.4,4,0,0,0.007,21.6,8179,252.84
18.319,80.95,10,0,0,0.292,17.4,8012,60.84
73.391,185.62,3,2,1,0.093,14.5,2708,82.58
406.514,169.91,9,5,0,0.29,28.5,9872,384.11
35.053,28.36,1,0,0,0.095,22.9,9121,40.8
275.774,32.27,7,4,1,0.17,12.9,3485,310.95
25.965,14.72,21,0,0,0.246,18.9,9189,40.45
186.182,90.18,19,5,0,0.17,26.7,9158,168.89
31.534,142.47,20,3,0,0.32,22.2,9391,54.84
24.462,168.37,4,4,0,0.023,29.7,9283,40.01
23.485,81.09,18,1,3,0.67,23.3,3226,107.02
101.585,100.27,2,3,0,0.085,15.2,8489,65.65
18.126,35.91,18,5,1,0.012,12.2,5960,38.65
31.763,77.68,14,0,0,0.411,28.0,8211,87.27
22.002,34.85,20,3,0,0.123,28.1,9711,33.46
31.81,177.45,0,4,1,0.193,16.6,3884,57.26
94.432,46.15,10,5,0,0.063,28.5,8981,82.63
25.367,7.93,18,1,0,0.658,20.2,8368,94.47
374.868,164.28,2,1,0,0.048,34.9,9776,198.24
274.97,33.63,21,2,3,0.216,23.9,1281,312.57
17.082,30.0,3,1,0,0.088,27.3,8079,32.36
0.547,187.55,21,5,0,0.022,23.4,9791,19.85
215.369,117.85,23,6,1,0.048,18.6,5485,159.93
28.511,157.91,18,4,0,0.062,15.1,9340,35.61
23.622,52.33,17,3,0,0.599,27.2,9393,95.12
39.546,115.57,22,3,1,0.045,22.8,2975,46.07
13.868,110.16,22,5,1,0.247,12.4,2043,52.89
373.268,186.14,12,4,0,0.179,20.7,9973,392.71
8.467,131.41,16,2,0,0.255,30.7,9045,36.83
39.874,155.96,11,5,0,0.005,26.7,9060,57.79
297.192,116.63,11,6,0,0.236,27.1,8398,252.78
13.929,23.49,16,2,1,0.233,22.2,6709,49.79
31.136,136.35,18,6,0,0.591,17.3,8138,98.25
21.658,140.19,8,1,0,0.811,23.0,9533,100.98
35.825,53.89,23,5,3,0.221,17.9,4019,56.82
4.714,184.05,21,5,0,0.271,15.1,9755,44.4
39.422,179.41,8,3,0,0.54,30.3,9046,130.16
20.348,78.8,21,6,0,0.255,34.5,9430,41.62
4.48,72.38,8,1,0,0.879,19.7,8965,65.46
16.323,90.2,18,1,3,0.535,25.3,4334,140.13
38.386,29.99,0,1,0,0.085,17.7,9829,40.79
16.237,138.14,1,1,1,0.033,17.1,2788,50.72
1.283,24.34,21,4,0,0.269,26.5,9329,13.04
3.597,122.77,14,5,3,0.169,28.0,3623,36.98
6.899,45.72,10,5,0,0.198,20.3,9320,27.03
7.109,170.86,4,5,0,0.35,20.0,9523,33.22
35.208,109.73,0,6,0,0.01,30.3,8170,40.17
243.854,25.37,16,6,0,0.358,15.7,8730,292.4
11.26,89.02,22,4,0,0.225,27.0,9292,36.06
9.472,18.0,9,2,0,0.4,18.1,8021,45.41
0.829,184.43,15,2,0,0.279,23.6,8599,19.74
28.74,129.23,12,1,0,0.355,23.4,8490,63.5
26.114,106.44,8,3,0,0.545,16.4,8279,82.3
2.46,107.04,5,0,0,0.073,17.5,8897,23.63
12.807,159.91,11,3,0,0.353,15.6,8164,51.14
33.741,163.47,0,0,3,0.044,25.7,2576,44.38
279.724,196.42,15,3,0,0.148,21.2,8661,257.03
14.737,10.51,21,1,3,0.15,18.5,2778,50.03
2.159,156.72,15,5,0,0.124,22.4,8183,26.13
14.543,30.87,17,6,0,0.891,24.8,8648,110.54
8.122,137.88,11,5,0,0.353,33.0,8993,42.05
19.002,173.55,19,6,0,0.625,16.4,8317,114.07
272.741,146.76,0,4,1,0.019,21.6,3956,187.09
11.684,82.02,10,0,0,0.351,28.2,8089,53.12
4.401,114.25,12,5,0,0.128,27.5,9208,35.65
35.646,16.08,20,0,0,0.225,29.9,9823,53.27
2.106,14.17,9,0,3,0.516,29.4,1397,25.58
22.547,149.25,20,4,0,0.128,24.2,9362,41.68
26.473,106.83,19,3,3,0.562,28.5,3253,124.07
8.95,153.17,23,2,0,0.04,24.0,9965,28.69
39.74,60.44,9,1,0,0.811,21.3,9580,122.49
1.991,71.2,4,2,0,0.026,26.6,8477,22.53
3.549,65.01,15,1,0,0.273,33.0,9439,30.61
2.709,154.2,11,6,0,0.361,33.6,8246,32.03
31.208,76.56,9,4,0,0.098,25.8,8306,50.27
304.617,18.11,13,2,1,0.371,12.2,4753,480.46
31.066,26.16,4,3,0,0.057,24.8,9335,34.36
27.547,115.25,3,5,0,0.096,22.3,8390,39.86
323.462,198.03,14,4,0,0.07,15.9,9675,222.47
25.03,29.62,9,0,0,0.625,31.1,8624,90.95
21.169,51.81,15,4,1,0.272,12.1,2150,42.06
18.866,189.04,2,3,0,0.066,28.3,9869,44.98
146.338,76.2,22,0,3,0.019,22.3,3445,115.14
13.676,78.74,5,0,0,0.03,22.0,9280,32.77
10.678,77.5,0,4,3,0.197,18.4,2399,53.91
9.994,30.63,9,4,0,0.326,25.8,8423,32.9
27.697,179.74,4,3,2,0.056,7.8,1094,46.52
106.941,5.99,10,3,3,0.368,19.6,4054,140.63
7.797,152.51,19,4,0,0.298,26.3,8472,33.89
255.631,129.95,5,6,0,0.019,24.5,8335,153.15
16.815,148.5,6,6,0,0.396,18.5,9955,58.44
2.152,147.09,12,5,0,0.286,27.2,9520,31.57
4.818,91.43,1,1,0,0.004,22.9,9505,33.82
395.891,57.25,5,3,0,0.052,33.4,9413,262.88
92.059,155.77,22,4,0,0.007,23.3,8923,80.69
26.119,142.32,5,5,1,0.026,11.4,5681,45.23
113.554,110.11,1,6,0,0.066,21.7,9784,83.25
30.861,89.31,20,1,0,0.101,17.6,8415,42.13
32.394,121.64,15,1,0,0.223,28.2,8929,57.06
33.097,9.88,4,0,0,0.003,15.7,9748,25.43
4.801,198.75,5,5,0,0.297,28.2,9433,31.39
12.322,73.78,12,6,0,0.219,23.5,9127,51.58
16.843,42.05,6,4,0,0.159,26.4,9288,54.93
33.988,52.01,18,4,0,0.149,17.6,9152,48.08
147.052,58.17,6,0,0,0.135,24.3,9631,132.99
25.681,2.36,6,5,0,0.09,30.8,8630,26.84
16.144,113.83,0,6,0,0.092,21.6,8692,38.81
34.676,179.2,14,6,1,0.29,23.9,2458,79.34
27.577,159.93,11,0,3,0.213,19.2,1127,57.71
181.809,171.58,22,0,0,0.024,16.7,9796,115.55
4.933,157.01,6,0,0,0.371,15.5,8988,46.77
30.895,19.74,16,5,2,0.214,0.1,649,49.22
313.372,17.51,14,0,0,0.294,30.3,9526,358.81
13.106,88.28,3,2,0,0.096,20.5,8031,36.86
11.207,188.66,9,4,0,0.268,16.4,9255,38.03
3.902,78.44,22,4,1,0.156,19.4,5652,33.99
38.96,151.17,14,4,0,0.21,31.3,9883,64.73
106.112,179.15,8,2,0,0.565,29.0,9362,197.64
4.959,95.78,5,2,1,0.041,19.1,3043,31.12
23.826,47.79,7,4,0,0.102,24.6,8135,33.82
31.599,108.95,7,1,0,0.756,16.6,9906,101.61
12.667,81.22,19,0,0,0.589,26.9,9679,90.93
448.14,180.66,20,6,0,0.236,17.9,8305,473.71
31.877,135.94,13,5,2,0.183,1.4,865,94.39
36.092,193.58,0,5,0,0.258,34.6,8224,53.5
15.572,109.07,21,1,0,0.353,18.8,8787,64.53
97.753,2.42,20,0,0,0.231,32.7,9347,75.04
318.038,85.2,5,3,0,0.038,26.0,8921,185.13
29.371,142.45,8,3,3,0.684,23.6,1137,118.93
492.446,196.74,8,3,0,0.444,25.5,9249,928.27
25.531,159.64,9,4,0,0.003,21.9,9594,39.14
175.524,33.58,22,4,1,0.189,20.9,6617,173.89
29.627,5.56,15,0,0,0.183,16.5,9605,44.62
23.875,30.31,14,2,1,0.44,13.9,3934,54.44
37.391,30.91,15,6,2,0.318,5.7,1474,101.45
64.161,92.86,15,2,0,0.26,34.0,9889,107.1
34.876,2.47,14,3,0,0.487,34.2,9398,83.27
165.392,54.14,3,2,0,0.068,22.8,9583,108.71
27.27,198.64,10,4,0,0.004,15.2,8139,39.3
1.436,18.48,19,5,1,0.354,13.3,6910,14.36
453.953,113.26,5,0,0,0.066,20.1,8956,283.35
394.255,51.54,2,2,1,0.026,15.7,4725,201.99
132.308,78.59,20,3,0,0.166,25.8,8883,138.16
10.399,89.23,15,1,0,0.299,15.0,8077,53.84
20.858,187.99,15,3,0,0.344,31.9,9599,47.14
21.645,198.32,10,5,0,0.194,16.1,9963,38.77
389.808,58.06,6,1,0,0.157,34.4,9353,348.46
378.249,28.07,6,0,1,0.338,18.9,6007,463.26
484.624,3.38,10,0,0,0.135,29.4,8830,363.24
23.384,184.97,1,5,0,0.272,28.1,8965,40.29
25.49,180.94,3,3,0,0.082,31.7,8130,41.61
32.555,196.44,21,3,0,0.264,34.5,9179,69.08
7.351,12.74,8,1,1,0.619,12.5,5030,42.79
47.19,97.44,0,0,0,0.059,16.8,9334,53.2
5.512,28.7,8,4,0,0.305,19.8,8357,28.21
200.013,1.01,7,1,0,0.709,25.6,8195,465.15
25.245,41.7,1,1,0,0.097,18.0,9728,31.71
17.67,66.93,14,0,0,0.253,16.0,9100,63.77
371.845,118.58,10,3,0,0.169,28.5,8667,328.59
73.824,117.06,1,3,0,0.018,33.6,8931,65.33
11.153,67.24,1,5,0,0.255,20.6,8227,43.1
333.48,122.34,5,4,3,0.157,27.8,1354,280.82
1.073,85.68,7,1,0,0.864,26.6,9826,33.01
377.399,100.89,13,4,0,0.246,31.2,9426,426.38
29.406,189.99,4,2,0,0.002,28.0,8185,31.99
253.33,27.81,22,3,0,0.046,32.4,9283,138.52
193.137,6.64,13,6,0,0.373,33.9,9110,266.1
36.445,72.86,1,0,0,0.037,24.3,8083,45.51
134.168,196.25,7,4,0,0.226,24.6,9923,128.15
